sport,event,year,num_athletes,num_countries,medals_awarded,medal_rate
Art Competitions,"Art Competitions Mixed Painting, Unknown Event",1932,312,18,648,2.0769
Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",1936,15,15,15,1.0
Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",1992,58,16,58,1.0
Equestrianism,"Equestrianism Mixed Dressage, Individual",2000,47,18,47,1.0
Rowing,Rowing Men's Coxless Fours,1952,68,17,68,1.0
Sailing,Sailing Mixed Skiff,2000,34,17,34,1.0
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2000,81,18,81,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1964,85,21,85,1.0
Shooting,Shooting Men's Double Trap,2000,25,20,25,1.0
Alpine Skiing,Alpine Skiing Women's Super G,2010,53,27,53,1.0
Cycling,Cycling Men's Sprint,1996,24,16,24,1.0
Athletics,"Athletics Men's 10,000 metres",1952,33,21,33,1.0
Cycling,"Cycling Women's Road Race, Individual",2004,67,30,67,1.0
Speed Skating,"Speed Skating Women's 1,000 metres",1988,27,12,27,1.0
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,1996,83,19,83,1.0
Biathlon,Biathlon Men's 20 kilometres,2010,88,32,88,1.0
Swimming,Swimming Women's 100 metres Freestyle,1992,48,33,48,1.0
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",1920,23,13,23,1.0
Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",1980,10,10,10,1.0
Weightlifting,Weightlifting Men's Featherweight,1984,21,17,21,1.0
Athletics,"Athletics Men's 5,000 metres",1996,37,22,37,1.0
Sailing,Sailing Mixed Two Person Heavyweight Dinghy,1968,62,29,62,1.0
Tennis,Tennis Women's Singles,2004,64,32,64,1.0
Boxing,Boxing Men's Middleweight,2012,28,28,28,1.0
Biathlon,Biathlon Women's 15 kilometres,1994,69,28,69,1.0
Freestyle Skiing,Freestyle Skiing Women's Aerials,1994,22,13,22,1.0
Athletics,Athletics Men's Shot Put,1932,15,10,15,1.0
Athletics,Athletics Men's 50 kilometres Walk,1972,36,17,36,1.0
Rowing,Rowing Women's Double Sculls,1976,20,10,20,1.0
Gymnastics,Gymnastics Men's Horizontal Bar,2004,79,29,79,1.0
Shooting,Shooting Men's Double Trap,2012,23,18,23,1.0
Athletics,Athletics Women's Discus Throw,1980,17,10,17,1.0
Weightlifting,Weightlifting Women's Light-Heavyweight,2012,15,14,15,1.0
Canoeing,"Canoeing Women's Kayak Singles, 500 metres",1956,10,10,10,1.0
Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",1964,18,18,18,1.0
Speed Skating,"Speed Skating Men's 5,000 metres",1984,42,19,42,1.0
Speed Skating,"Speed Skating Men's 1,500 metres",1956,54,18,54,1.0
Athletics,Athletics Men's 20 kilometres Walk,1980,34,20,34,1.0
Figure Skating,Figure Skating Mixed Ice Dancing,1984,38,12,38,1.0
Swimming,Swimming Women's 100 metres Butterfly,1984,35,22,35,1.0
Shooting,Shooting Men's Skeet,2016,32,23,32,1.0
Athletics,Athletics Men's 200 metres,2008,63,53,63,1.0
Athletics,Athletics Men's 400 metres,2012,49,38,49,1.0
Fencing,"Fencing Men's Sabre, Team",1992,60,12,60,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",1994,33,8,33,1.0
Cycling,"Cycling Men's Road Race, Individual",1980,115,32,115,1.0
Gymnastics,Gymnastics Men's Floor Exercise,2000,76,26,76,1.0
Bobsleigh,Bobsleigh Men's Four,1956,85,12,85,1.0
Boxing,Boxing Men's Flyweight,1960,33,33,33,1.0
Diving,Diving Men's Synchronized Springboard,2016,16,8,16,1.0
Snowboarding,Snowboarding Men's Slopestyle,2014,29,13,29,1.0
Athletics,Athletics Men's Marathon,1956,46,23,46,1.0
Athletics,Athletics Men's Hammer Throw,1952,33,18,33,1.0
Biathlon,Biathlon Men's 10 kilometres Sprint,1980,50,17,50,1.0
Athletics,Athletics Women's 200 metres,1968,36,21,36,1.0
Shooting,"Shooting Men's Running Target, Double Shot, Team",1920,20,4,20,1.0
Rowing,Rowing Women's Coxed Eights,2016,63,7,63,1.0
Athletics,Athletics Women's 100 metres,1980,40,25,40,1.0
Swimming,Swimming Men's 100 metres Freestyle,1964,66,33,66,1.0
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1972,24,23,24,1.0
Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,1984,52,14,52,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1980,10,10,10,1.0
Rowing,Rowing Men's Quadruple Sculls,1996,57,14,57,1.0
Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1956,11,11,11,1.0
Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",1984,13,13,13,1.0
Archery,"Archery Men's Pole Archery, Large Birds, Team",1920,6,1,6,1.0
Sailing,Sailing Mixed Two Person Keelboat,1960,53,26,53,1.0
Athletics,Athletics Women's 100 metres,1948,38,21,38,1.0
Athletics,Athletics Women's 4 x 400 metres Relay,2004,71,16,71,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1988,50,16,50,1.0
Athletics,"Athletics Men's 3,000 metres Steeplechase",1972,49,29,49,1.0
Badminton,Badminton Men's Doubles,2008,32,10,32,1.0
Cycling,"Cycling Men's 1,000 metres Time Trial",1956,22,22,22,1.0
Speed Skating,"Speed Skating Men's 10,000 metres",1960,30,15,30,1.0
Wrestling,"Wrestling Men's Welterweight, Greco-Roman",2004,20,20,20,1.0
Swimming,Swimming Women's 100 metres Breaststroke,1996,46,37,46,1.0
Rowing,Rowing Men's Coxless Pairs,1976,30,14,30,1.0
Athletics,Athletics Men's 110 metres Hurdles,1988,41,31,41,1.0
Weightlifting,Weightlifting Men's Lightweight,1992,18,16,18,1.0
Taekwondo,Taekwondo Men's Flyweight,2004,16,16,16,1.0
Athletics,Athletics Women's Long Jump,1968,27,18,27,1.0
Speed Skating,Speed Skating Men's 500 metres,1924,27,10,27,1.0
Athletics,Athletics Men's High Jump,2000,35,24,35,1.0
Archery,Archery Men's Individual,2000,64,32,64,1.0
Swimming,Swimming Women's 100 metres Butterfly,1996,42,35,42,1.0
Shooting,Shooting Women's Skeet,2008,19,19,19,1.0
Figure Skating,Figure Skating Mixed Ice Dancing,2014,48,15,48,1.0
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",1936,16,16,16,1.0
Swimming,Swimming Men's 400 metres Freestyle,1992,46,31,46,1.0
Fencing,"Fencing Men's Foil, Team",1960,77,16,77,1.0
Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",2008,30,15,30,1.0
Speed Skating,"Speed Skating Men's 10,000 metres",1980,25,13,25,1.0
Boxing,Boxing Men's Flyweight,1904,2,1,2,1.0
Swimming,Swimming Men's 4 x 100 metres Medley Relay,1976,68,14,68,1.0
Athletics,Athletics Men's 110 metres Hurdles,1968,33,24,33,1.0
Weightlifting,Weightlifting Women's Light-Heavyweight,2008,10,9,10,1.0
Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",1980,48,15,48,1.0
Tennis,Tennis Women's Singles,1996,64,34,64,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",2002,31,19,31,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1936,60,15,60,1.0
Sailing,Sailing Mixed One Person Dinghy,1964,33,33,33,1.0
Motorboating,Motorboating Mixed A-Class (Open),1908,7,2,7,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1988,21,21,21,1.0
Swimming,Swimming Women's 100 metres Butterfly,2008,49,37,49,1.0
Boxing,Boxing Men's Welterweight,1952,29,29,29,1.0
Athletics,Athletics Men's 50 kilometres Walk,1996,51,27,51,1.0
Gymnastics,Gymnastics Women's Individual All-Around,2000,97,32,97,1.0
Rowing,Rowing Men's Double Sculls,1968,27,12,27,1.0
Athletics,Athletics Men's 100 metres,1976,63,39,63,1.0
Gymnastics,Gymnastics Women's Uneven Bars,1960,124,27,124,1.0
Swimming,Swimming Men's 200 metres Freestyle,1900,26,10,26,1.0
Snowboarding,Snowboarding Women's Halfpipe,2014,27,13,27,1.0
Speed Skating,"Speed Skating Men's 10,000 metres",1952,30,12,30,1.0
Basketball,Basketball Women's Basketball,1984,71,6,71,1.0
Athletics,"Athletics Men's 10,000 metres",1936,30,18,30,1.0
Gymnastics,Gymnastics Women's Uneven Bars,1980,62,16,62,1.0
Shooting,Shooting Mixed Skeet,1984,69,40,69,1.0
Boxing,Boxing Men's Light-Heavyweight,1928,16,16,16,1.0
Water Polo,Water Polo Men's Water Polo,1972,176,16,176,1.0
Rowing,Rowing Men's Single Sculls,2008,32,32,32,1.0
Weightlifting,Weightlifting Women's Middleweight,2000,9,9,9,1.0
Gymnastics,Gymnastics Men's Floor Exercise,2012,70,32,70,1.0
Rowing,Rowing Women's Coxless Pairs,2000,20,10,20,1.0
Sailing,Sailing Mixed 8 metres,1936,60,10,60,1.0
Athletics,"Athletics Men's 4 mile, Team",1904,10,2,10,1.0
Boxing,Boxing Men's Welterweight,1928,22,22,22,1.0
Athletics,"Athletics Men's 3,000 metres, Team",1920,31,6,31,1.0
Sailing,Sailing Mixed One Person Dinghy,1984,28,28,28,1.0
Gymnastics,Gymnastics Men's Individual All-Around,1900,135,8,135,1.0
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",2004,20,20,20,1.0
Athletics,Athletics Women's Long Jump,1952,34,21,34,1.0
Fencing,"Fencing Men's Sabre, Individual",1976,45,18,45,1.0
Athletics,Athletics Men's Marathon,1924,58,20,58,1.0
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",1988,16,16,16,1.0
Sailing,Sailing Mixed 30 metres,1920,3,1,3,1.0
Athletics,Athletics Women's 100 metres Hurdles,1988,36,22,36,1.0
Tennis,"Tennis Men's Doubles, Covered Courts",1912,16,3,16,1.0
Fencing,"Fencing Women's Foil, Individual",1924,25,9,25,1.0
Football,Football Men's Football,1964,214,14,214,1.0
Fencing,"Fencing Men's epee, Team",1928,93,18,93,1.0
Beach Volleyball,Beach Volleyball Women's Beach Volleyball,1996,36,13,36,1.0
Athletics,Athletics Women's 4 x 400 metres Relay,2000,93,21,93,1.0
Volleyball,Volleyball Men's Volleyball,1968,119,10,119,1.0
Swimming,Swimming Women's 200 metres Freestyle,1992,37,25,37,1.0
Athletics,Athletics Men's Discus Throw,2000,45,28,45,1.0
Hockey,Hockey Women's Hockey,1996,128,8,128,1.0
Athletics,Athletics Women's 200 metres,1956,27,12,27,1.0
Rowing,Rowing Men's Coxed Fours,1988,71,13,71,1.0
Judo,Judo Men's Open Class,1964,9,9,9,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Team",2000,47,12,47,1.0
Fencing,"Fencing Men's Sabre, Team",1924,80,14,80,1.0
Boxing,Boxing Men's Bantamweight,1992,31,31,31,1.0
Shooting,Shooting Men's Skeet,2004,41,32,41,1.0
Swimming,Swimming Men's 400 metres Freestyle,1988,49,32,49,1.0
Fencing,"Fencing Men's epee, Individual",2012,30,23,30,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1968,24,24,24,1.0
Judo,Judo Men's Open Class,1976,23,22,23,1.0
Basketball,Basketball Men's Basketball,2008,144,12,144,1.0
Speed Skating,"Speed Skating Men's 5,000 metres",1980,29,15,29,1.0
Canoeing,"Canoeing Women's Kayak Singles, 500 metres",2008,25,25,25,1.0
Athletics,Athletics Women's 100 metres,1976,39,21,39,1.0
Fencing,"Fencing Men's epee, Team",1908,44,9,44,1.0
Fencing,"Fencing Men's Foil, Team",1956,49,9,49,1.0
Athletics,Athletics Men's Shot Put,1980,16,11,16,1.0
Sailing,Sailing Mixed Two Person Keelboat,1992,52,26,52,1.0
Swimming,Swimming Men's 400 metres Freestyle,1980,28,16,28,1.0
Canoeing,"Canoeing Men's Kayak Singles, 500 metres",1988,18,17,18,1.0
Swimming,Swimming Women's 200 metres Butterfly,1992,32,23,32,1.0
Weightlifting,Weightlifting Men's Heavyweight I,1984,16,14,16,1.0
Luge,Luge Women's Singles,1976,26,11,26,1.0
Shooting,Shooting Women's Skeet,2000,13,11,13,1.0
Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",1948,13,13,13,1.0
Athletics,Athletics Men's 110 metres Hurdles,1932,17,10,17,1.0
Swimming,Swimming Men's 200 metres Freestyle,2000,51,44,51,1.0
Luge,Luge Women's Singles,2002,29,15,29,1.0
Cycling,"Cycling Men's 1,000 metres Time Trial",1968,32,31,32,1.0
Swimming,Swimming Men's 400 metres Freestyle,2004,47,39,47,1.0
Weightlifting,Weightlifting Women's Featherweight,2012,18,16,18,1.0
Swimming,Swimming Women's 100 metres Backstroke,1976,34,20,34,1.0
Fencing,"Fencing Men's Sabre, Team",1972,63,13,63,1.0
Athletics,Athletics Women's 800 metres,1968,24,16,24,1.0
Shooting,Shooting Men's Skeet,2008,41,30,41,1.0
Basketball,Basketball Men's Basketball,1988,143,12,143,1.0
Gymnastics,Gymnastics Men's Horizontal Bar,1968,115,26,115,1.0
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1972,21,21,21,1.0
Athletics,Athletics Men's 400 metres,1948,53,28,53,1.0
Athletics,"Athletics Women's 3,000 metres Steeplechase",2012,44,26,44,1.0
Basketball,Basketball Men's Basketball,1936,199,21,199,1.0
Shooting,Shooting Women's Skeet,2004,12,11,12,1.0
Badminton,Badminton Women's Doubles,2004,46,15,46,1.0
Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,1988,55,16,55,1.0
Weightlifting,Weightlifting Women's Super-Heavyweight,2008,11,10,11,1.0
Athletics,Athletics Men's Shot Put,1960,24,16,24,1.0
Alpine Skiing,Alpine Skiing Women's Combined,2014,39,21,39,1.0
Wrestling,"Wrestling Men's Heavyweight, Freestyle",2012,17,17,17,1.0
Shooting,"Shooting Men's Running Target, Double Shot",1908,15,4,15,1.0
Fencing,"Fencing Men's epee, Individual",1932,28,12,28,1.0
Athletics,Athletics Men's Triple Jump,1900,13,6,13,1.0
Athletics,Athletics Men's Long Jump,1932,12,9,12,1.0
Weightlifting,Weightlifting Men's Lightweight,1964,20,18,20,1.0
Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",1936,21,6,23,1.0952
Wrestling,"Wrestling Men's Middleweight, Freestyle",2008,21,21,21,1.0
Cycling,Cycling Women's Team Sprint,2016,18,9,18,1.0
Boxing,Boxing Men's Light-Heavyweight,1952,18,18,18,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1980,11,11,11,1.0
Table Tennis,Table Tennis Women's Singles,2004,64,35,64,1.0
Athletics,"Athletics Men's 3,000 metres Steeplechase",2000,40,29,40,1.0
Fencing,"Fencing Men's epee, Individual",1948,66,25,66,1.0
Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",1908,48,8,48,1.0
Swimming,Swimming Women's 800 metres Freestyle,1980,14,9,14,1.0
Judo,Judo Men's Half-Heavyweight,2016,34,34,34,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1964,53,33,53,1.0
Biathlon,Biathlon Men's 10 kilometres Sprint,1994,68,28,68,1.0
Gymnastics,Gymnastics Men's Floor Exercise,2004,77,30,77,1.0
Wrestling,"Wrestling Men's Featherweight, Freestyle",2012,19,19,19,1.0
Gymnastics,Gymnastics Men's Floor Exercise,1976,90,19,90,1.0
Athletics,Athletics Men's 20 kilometres Walk,2000,47,28,47,1.0
Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",2004,20,20,20,1.0
Figure Skating,Figure Skating Mixed Pairs,1960,26,7,26,1.0
Sailing,Sailing Women's Windsurfer,1996,27,26,27,1.0
Football,Football Men's Football,1920,190,14,190,1.0
Boxing,Boxing Men's Bantamweight,1976,27,27,27,1.0
Fencing,"Fencing Women's Foil, Team",1964,47,10,47,1.0
Swimming,Swimming Men's 200 metres Backstroke,2008,40,31,40,1.0
Athletics,Athletics Men's 400 metres,2004,62,48,62,1.0
Modern Pentathlon,Modern Pentathlon Men's Individual,2008,36,22,36,1.0
Rowing,Rowing Men's Coxed Pairs (1 mile),1906,21,5,21,1.0
Snowboarding,Snowboarding Men's Halfpipe,1998,36,12,36,1.0
Cycling,"Cycling Men's Team Pursuit, 4,000 metres",1928,49,12,49,1.0
Diving,Diving Men's Springboard,1968,28,16,28,1.0
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,1996,37,22,37,1.0
Wrestling,"Wrestling Men's Heavyweight, Freestyle",2008,18,18,18,1.0
Weightlifting,Weightlifting Women's Super-Heavyweight,2016,16,14,16,1.0
Modern Pentathlon,Modern Pentathlon Men's Individual,1980,43,17,43,1.0
Boxing,Boxing Men's Heavyweight,2016,18,18,18,1.0
Tennis,Tennis Mixed Doubles,1912,12,4,12,1.0
Cycling,Cycling Men's Madison,2008,32,16,32,1.0
Diving,Diving Men's Plain High,1912,31,9,31,1.0
Rowing,Rowing Men's Single Sculls,1980,14,14,14,1.0
Athletics,Athletics Men's Javelin Throw,1932,13,7,13,1.0
Equestrianism,"Equestrianism Mixed Jumping, Team",1956,60,20,60,1.0
Boxing,Boxing Men's Lightweight,2016,28,28,28,1.0
Archery,Archery Men's Team,1992,60,20,60,1.0
Wrestling,"Wrestling Men's Welterweight, Freestyle",1972,25,24,25,1.0
Athletics,Athletics Women's 100 metres,1964,44,27,44,1.0
Equestrianism,"Equestrianism Men's Three-Day Event, Team",1952,57,19,57,1.0
Boxing,Boxing Men's Lightweight,2004,28,28,28,1.0
Figure Skating,Figure Skating Mixed Ice Dancing,1980,24,8,24,1.0
Rowing,Rowing Men's Quadruple Sculls,2016,40,10,40,1.0
Equestrianism,"Equestrianism Mixed Dressage, Individual",2016,60,25,60,1.0
Skeleton,Skeleton Women's Skeleton,2006,15,12,15,1.0
Swimming,Swimming Women's 400 metres Individual Medley,2012,35,28,35,1.0
Alpine Skiing,Alpine Skiing Men's Downhill,2010,64,28,64,1.0
Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",1984,16,16,16,1.0
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014,32,16,32,1.0
Gymnastics,Gymnastics Men's Individual All-Around,1936,111,14,111,1.0
Diving,Diving Women's Synchronized Platform,2016,16,8,16,1.0
Swimming,Swimming Men's 10 kilometres Open Water,2012,25,23,25,1.0
Wrestling,"Wrestling Men's Flyweight, Freestyle",1996,19,19,19,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1960,19,19,19,1.0
Athletics,Athletics Men's Hammer Throw,2016,32,24,32,1.0
Athletics,"Athletics Men's 5,000 metres",1928,38,18,38,1.0
Judo,Judo Women's Half-Lightweight,1996,21,21,21,1.0
Swimming,"Swimming Men's 1,500 metres Freestyle",1972,43,27,43,1.0
Rowing,Rowing Men's 6-Man Naval Rowing Boats,1906,28,2,28,1.0
Athletics,Athletics Men's Marathon,1948,41,21,41,1.0
Athletics,Athletics Men's High Jump,1928,35,17,35,1.0
Speed Skating,"Speed Skating Men's 10,000 metres",2002,16,10,16,1.0
Rowing,Rowing Women's Quadruple Sculls,2004,32,8,32,1.0
Swimming,Swimming Women's 200 metres Breaststroke,1960,29,19,29,1.0
Athletics,"Athletics Women's 3,000 metres Steeplechase",2008,51,30,51,1.0
Cycling,"Cycling Men's Team Pursuit, 4,000 metres",1996,70,17,70,1.0
Gymnastics,Gymnastics Men's Rings,1924,70,9,70,1.0
Sailing,Sailing Mixed 6 metres,1908,15,4,15,1.0
Swimming,"Swimming Men's 1,500 metres Freestyle",1952,37,22,37,1.0
Canoeing,"Canoeing Men's Canadian Singles, 500 metres",1976,15,14,15,1.0
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2006,79,31,79,1.0
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,2016,70,14,70,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2008,49,31,49,1.0
Athletics,"Athletics Men's 10,000 metres",1976,41,26,41,1.0
Athletics,Athletics Men's Discus Throw,1964,29,21,29,1.0
Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",1996,64,16,64,1.0
Badminton,Badminton Women's Doubles,1992,58,20,58,1.0
Athletics,Athletics Men's 110 metres Hurdles,2016,39,26,39,1.0
Diving,Diving Men's Platform,1924,20,10,20,1.0
Luge,Luge Men's Singles,2002,50,23,50,1.0
Athletics,Athletics Women's Shot Put,2004,38,28,38,1.0
Fencing,"Fencing Men's Foil, Masters, Individual",1896,2,2,2,1.0
Rowing,Rowing Women's Single Sculls,2000,19,19,19,1.0
Shooting,"Shooting Men's Free Pistol, 50 metres",1920,31,8,31,1.0
Cycling,"Cycling Women's Mountainbike, Cross-Country",2008,30,22,30,1.0
Gymnastics,Gymnastics Men's Horse Vault,1936,110,14,110,1.0
Swimming,Swimming Women's 200 metres Butterfly,2016,27,20,27,1.0
Boxing,Boxing Men's Featherweight,1996,31,31,31,1.0
Athletics,Athletics Women's 200 metres,1988,59,40,59,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1920,18,12,18,1.0
Cycling,Cycling Men's Points Race,1996,28,28,28,1.0
Swimming,"Swimming Men's 1,500 metres Freestyle",1996,34,26,34,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",2008,19,19,19,1.0
Weightlifting,Weightlifting Men's Light-Heavyweight,2016,23,21,23,1.0
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",1956,20,10,20,1.0
Athletics,Athletics Women's Javelin Throw,1968,16,11,16,1.0
Figure Skating,Figure Skating Mixed Team,2014,74,10,74,1.0
Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,1998,32,13,32,1.0
Luge,Luge Mixed (Men)'s Doubles,1994,40,15,40,1.0
Athletics,Athletics Men's 100 metres,2012,74,61,74,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1980,64,16,64,1.0
Swimming,Swimming Men's 200 metres Individual Medley,1992,56,41,56,1.0
Speed Skating,"Speed Skating Women's 5,000 metres",2006,16,10,16,1.0
Athletics,Athletics Men's 4 x 400 metres Relay,1972,85,21,85,1.0
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2010,53,21,53,1.0
Swimming,Swimming Men's 100 metres Freestyle,1988,77,49,77,1.0
Gymnastics,Gymnastics Men's Team All-Around,1952,170,22,170,1.0
Athletics,Athletics Men's Marathon,2008,95,56,95,1.0
Gymnastics,Gymnastics Men's Floor Exercise,1952,185,28,185,1.0
Speed Skating,"Speed Skating Men's 1,500 metres",1972,39,16,39,1.0
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2000,100,23,100,1.0
Rowing,Rowing Men's Single Sculls,2004,29,28,29,1.0
Gymnastics,Gymnastics Women's Balance Beam,1980,62,16,62,1.0
Athletics,"Athletics Men's 10,000 metres",2008,38,20,38,1.0
Gymnastics,Gymnastics Women's Floor Exercise,2012,82,44,82,1.0
Fencing,"Fencing Men's Sabre, Team",1912,69,11,69,1.0
Swimming,Swimming Men's 4 x 100 metres Medley Relay,1980,61,13,61,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1948,16,16,16,1.0
Ski Jumping,"Ski Jumping Men's Large Hill, Individual",2014,61,20,61,1.0
Fencing,"Fencing Women's Foil, Individual",1968,38,16,38,1.0
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2004,75,16,75,1.0
Swimming,Swimming Men's 200 metres Breaststroke,1936,25,11,25,1.0
Equestrianism,"Equestrianism Mixed Jumping, Individual",1964,46,17,46,1.0
Boxing,Boxing Men's Welterweight,1968,33,32,33,1.0
Boxing,Boxing Men's Light-Flyweight,2004,29,29,29,1.0
Weightlifting,Weightlifting Men's Bantamweight,1992,22,17,22,1.0
Weightlifting,Weightlifting Men's Super-Heavyweight,2000,24,21,24,1.0
Basketball,Basketball Women's Basketball,1976,72,6,72,1.0
Weightlifting,Weightlifting Men's Light-Heavyweight,1968,26,21,26,1.0
Boxing,Boxing Men's Featherweight,1992,31,31,31,1.0
Weightlifting,Weightlifting Men's Middleweight,2012,12,11,12,1.0
Speed Skating,"Speed Skating Men's 1,000 metres",1998,43,17,43,1.0
Judo,Judo Women's Heavyweight,2012,20,20,20,1.0
Wrestling,"Wrestling Men's Heavyweight, Freestyle",1964,13,13,13,1.0
Boxing,Boxing Men's Middleweight,1980,19,19,19,1.0
Athletics,Athletics Women's 400 metres,1964,23,17,23,1.0
Athletics,Athletics Men's 800 metres,1896,9,6,9,1.0
Athletics,Athletics Men's 110 metres Hurdles,1904,6,2,6,1.0
Gymnastics,Gymnastics Men's Rings,1996,102,31,102,1.0
Gymnastics,Gymnastics Men's Individual All-Around,1984,71,19,71,1.0
Boxing,Boxing Men's Bantamweight,1988,48,48,48,1.0
Shooting,"Shooting Men's Military Pistol, Team",1920,46,9,46,1.0
Swimming,Swimming Women's 200 metres Freestyle,1968,39,22,39,1.0
Rowing,Rowing Men's Coxed Fours,1952,85,17,85,1.0
Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1956,10,10,10,1.0
Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",2006,29,19,29,1.0
Equestrianism,"Equestrianism Men's Jumping, Individual",1920,25,6,25,1.0
Shooting,Shooting Men's Trap,2008,35,25,35,1.0
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1952,20,20,20,1.0
Gymnastics,Gymnastics Men's Team All-Around,1996,83,12,83,1.0
Weightlifting,Weightlifting Men's Bantamweight,1956,16,13,16,1.0
Athletics,Athletics Men's Long Jump,1952,27,19,27,1.0
Rowing,Rowing Women's Coxed Eights,1988,65,6,65,1.0
Modern Pentathlon,Modern Pentathlon Men's Team,1976,42,14,42,1.0
Alpine Skiing,Alpine Skiing Men's Combined,1948,79,25,79,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1980,28,7,28,1.0
Athletics,Athletics Men's Long Jump,1904,9,4,9,1.0
Wrestling,"Wrestling Men's Lightweight, Freestyle",1924,16,10,16,1.0
Boxing,Boxing Men's Welterweight,1920,18,11,18,1.0
Swimming,Swimming Women's 200 metres Backstroke,1996,33,28,33,1.0
Volleyball,Volleyball Women's Volleyball,1964,68,6,68,1.0
Alpine Skiing,Alpine Skiing Women's Combined,1948,28,10,28,1.0
Weightlifting,Weightlifting Men's Heavyweight,1960,18,15,18,1.0
Fencing,"Fencing Men's epee, Individual",2008,41,23,41,1.0
Boxing,Boxing Men's Flyweight,2008,27,27,27,1.0
Swimming,Swimming Men's 200 metres Freestyle,1972,46,26,46,1.0
Figure Skating,Figure Skating Women's Singles,1988,31,22,31,1.0
Equestrianism,"Equestrianism Men's Three-Day Event, Individual",1912,27,7,27,1.0
Gymnastics,Gymnastics Men's Horizontal Bar,1960,130,28,130,1.0
Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",1936,89,12,122,1.3708
Swimming,Swimming Women's 800 metres Freestyle,1988,27,18,27,1.0
Weightlifting,Weightlifting Women's Lightweight,2008,12,11,12,1.0
Basketball,Basketball Women's Basketball,2012,143,12,143,1.0
Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",2004,38,19,38,1.0
Modern Pentathlon,Modern Pentathlon Women's Individual,2008,36,23,36,1.0
Athletics,"Athletics Women's 1,500 metres",2008,33,18,33,1.0
Sailing,Sailing Women's Two Person Dinghy,2012,40,20,40,1.0
Swimming,Swimming Men's 100 metres Breaststroke,1992,59,44,59,1.0
Athletics,Athletics Men's Marathon,1904,32,6,32,1.0
Luge,Luge Women's Singles,1988,24,13,24,1.0
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,1980,39,9,39,1.0
Sailing,Sailing Mixed 12 metres,1908,20,1,20,1.0
