sport,event,year,num_athletes,num_countries,medals_awarded,medal_rate
Fencing,"Fencing Men's Foil, Individual",1968,64,25,64,1.0
Weightlifting,Weightlifting Men's Lightweight,1948,22,17,22,1.0
Alpine Skiing,Alpine Skiing Men's Combined,2002,47,19,47,1.0
Boxing,Boxing Men's Welterweight,1996,32,32,32,1.0
Nordic Combined,Nordic Combined Men's Individual,1998,48,14,48,1.0
Gymnastics,Gymnastics Women's Floor Exercise,2000,83,30,83,1.0
Athletics,Athletics Men's Pole Vault,1908,15,7,15,1.0
Diving,Diving Women's Springboard,2004,33,20,33,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1972,24,23,24,1.0
Gymnastics,Gymnastics Women's Floor Exercise,1972,118,22,118,1.0
Figure Skating,Figure Skating Men's Singles,2010,30,20,30,1.0
Diving,Diving Men's Platform,1948,25,15,25,1.0
Shooting,"Shooting Men's Free Pistol, 50 yards",1908,43,7,43,1.0
Gymnastics,Gymnastics Men's Horizontal Bar,2008,76,27,76,1.0
Gymnastics,Gymnastics Men's Pommelled Horse,1988,89,22,89,1.0
Alpine Skiing,Alpine Skiing Women's Slalom,2014,85,48,85,1.0
Snowboarding,Snowboarding Men's Boardercross,2010,35,15,35,1.0
Fencing,"Fencing Men's Sabre, Team",1932,32,6,32,1.0
Swimming,Swimming Women's 200 metres Breaststroke,1936,23,12,23,1.0
Speed Skating,Speed Skating Women's 500 metres,1994,34,12,34,1.0
Equestrianism,"Equestrianism Mixed Dressage, Team",2004,39,10,39,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1928,9,9,9,1.0
Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,1964,69,23,69,1.0
Basketball,Basketball Men's Basketball,2000,144,12,144,1.0
Sailing,Sailing Mixed One Person Dinghy,1980,21,21,21,1.0
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,1994,65,25,65,1.0
Athletics,Athletics Women's Shot Put,2016,36,25,36,1.0
Gymnastics,Gymnastics Women's Uneven Bars,1984,65,16,65,1.0
Figure Skating,Figure Skating Women's Singles,1956,21,11,21,1.0
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1992,82,25,82,1.0
Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",1968,16,15,16,1.0
Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2000,24,10,24,1.0
Gymnastics,Gymnastics Men's Rings,1952,185,28,185,1.0
Water Polo,Water Polo Men's Water Polo,2004,154,12,154,1.0
Swimming,Swimming Men's 200 metres Breaststroke,1964,33,20,33,1.0
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,2012,24,21,24,1.0
Equestrianism,"Equestrianism Men's Three-Day Event, Team",1924,40,10,40,1.0
Gymnastics,Gymnastics Men's Floor Exercise,1972,113,25,113,1.0
Judo,Judo Men's Open Class,1980,18,18,18,1.0
Shooting,"Shooting Women's Air Rifle, 10 metres",1988,45,28,45,1.0
Boxing,Boxing Men's Featherweight,1920,17,10,17,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1996,19,19,19,1.0
Gymnastics,Gymnastics Men's Rings,1980,65,14,65,1.0
Tennis,Tennis Men's Doubles,1908,24,8,24,1.0
Gymnastics,Gymnastics Men's Horizontal Bar,2016,71,34,71,1.0
Canoeing,"Canoeing Women's Kayak Singles, 500 metres",1972,15,14,15,1.0
Figure Skating,Figure Skating Mixed Pairs,2014,40,12,40,1.0
Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",2014,32,14,32,1.0
Athletics,Athletics Men's Triple Jump,1912,20,8,20,1.0
Sailing,Sailing Mixed One Person Dinghy,1932,12,11,12,1.0
Rowing,Rowing Women's Coxed Eights,1980,54,6,54,1.0
Athletics,Athletics Women's 800 metres,1980,28,17,28,1.0
Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1964,19,19,19,1.0
Athletics,Athletics Men's Pentathlon,1912,26,11,26,1.0
Athletics,Athletics Women's Marathon,2012,118,67,118,1.0
Fencing,"Fencing Men's Sabre, Individual",1980,30,12,30,1.0
Swimming,Swimming Men's 100 metres Butterfly,1972,39,26,39,1.0
Water Polo,Water Polo Men's Water Polo,1960,150,16,150,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1948,60,15,60,1.0
Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",1908,34,7,34,1.0
Swimming,Swimming Men's 200 metres Breaststroke,2008,52,38,52,1.0
Gymnastics,Gymnastics Women's Balance Beam,1976,86,17,86,1.0
Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1948,17,17,17,1.0
Athletics,Athletics Men's 800 metres,1984,69,55,69,1.0
Cycling,Cycling Men's 100 kilometres Team Time Trial,1992,119,30,119,1.0
Figure Skating,Figure Skating Mixed Pairs,1984,30,6,30,1.0
Boxing,Boxing Men's Lightweight,1948,27,27,27,1.0
Nordic Combined,Nordic Combined Men's Individual,1936,51,16,51,1.0
Cycling,"Cycling Women's Mountainbike, Cross-Country",1996,29,19,29,1.0
Gymnastics,"Gymnastics Men's Team All-Around, Free System",1920,45,2,45,1.0
Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2016,24,12,24,1.0
Speed Skating,"Speed Skating Women's 3,000 metres",2014,28,13,28,1.0
Gymnastics,Gymnastics Women's Balance Beam,1960,124,27,124,1.0
Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",2016,18,18,18,1.0
Athletics,Athletics Women's Javelin Throw,2016,31,20,31,1.0
Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",1960,28,28,28,1.0
Athletics,Athletics Women's Pole Vault,2008,36,24,36,1.0
Canoeing,"Canoeing Women's Kayak Fours, 500 metres",2016,56,14,56,1.0
Modern Pentathlon,Modern Pentathlon Men's Individual,1912,32,10,32,1.0
Cross Country Skiing,Cross Country Skiing Women's Sprint,2010,54,27,54,1.0
Freestyle Skiing,Freestyle Skiing Men's Slopestyle,2014,32,15,32,1.0
Boxing,Boxing Men's Heavyweight,1976,15,14,15,1.0
Athletics,Athletics Women's 100 metres Hurdles,1972,25,14,25,1.0
Equestrianism,"Equestrianism Mixed Jumping, Individual",1960,60,23,60,1.0
Diving,Diving Women's Springboard,1960,18,12,18,1.0
Swimming,"Swimming Men's 1,500 metres Freestyle",1980,17,11,17,1.0
